2020-09-19 16:44:33
Epoch:001   iter:00313 | Loss:1.173 | Acc:0.633
Epoch:001   iter:00314 | Loss:1.188 | Acc:0.594
Epoch:001   iter:00315 | Loss:1.252 | Acc:0.602
Epoch:001   iter:00316 | Loss:1.189 | Acc:0.680
Epoch:001   iter:00317 | Loss:1.230 | Acc:0.570
Epoch:001   iter:00318 | Loss:1.209 | Acc:0.609
Epoch:001   iter:00319 | Loss:1.214 | Acc:0.609
Epoch:001   iter:00320 | Loss:1.195 | Acc:0.656
Epoch:001   iter:00321 | Loss:1.148 | Acc:0.688
Epoch:001   iter:00322 | Loss:1.249 | Acc:0.617
Epoch:001   iter:00323 | Loss:1.188 | Acc:0.656
Epoch:001   iter:00324 | Loss:1.160 | Acc:0.594
Epoch:001   iter:00325 | Loss:1.250 | Acc:0.617
Epoch:001   iter:00326 | Loss:1.124 | Acc:0.641
Epoch:001   iter:00327 | Loss:1.203 | Acc:0.609
Epoch:001   iter:00328 | Loss:1.121 | Acc:0.648
Epoch:001   iter:00329 | Loss:1.139 | Acc:0.680
Epoch:001   iter:00330 | Loss:1.222 | Acc:0.602
Epoch:001   iter:00331 | Loss:1.214 | Acc:0.547
Epoch:001   iter:00332 | Loss:1.136 | Acc:0.680
Epoch:001   iter:00333 | Loss:1.140 | Acc:0.680
Epoch:001   iter:00334 | Loss:1.083 | Acc:0.688
Epoch:001   iter:00335 | Loss:1.191 | Acc:0.695
Epoch:001   iter:00336 | Loss:1.170 | Acc:0.656
Epoch:001   iter:00337 | Loss:1.184 | Acc:0.586
Epoch:001   iter:00338 | Loss:1.075 | Acc:0.703
Epoch:001   iter:00339 | Loss:1.164 | Acc:0.602
Epoch:001   iter:00340 | Loss:1.116 | Acc:0.617
Epoch:001   iter:00341 | Loss:1.223 | Acc:0.586
Epoch:001   iter:00342 | Loss:1.113 | Acc:0.680
Epoch:001   iter:00343 | Loss:1.123 | Acc:0.648
Epoch:001   iter:00344 | Loss:1.124 | Acc:0.664
Epoch:001   iter:00345 | Loss:1.191 | Acc:0.578
Epoch:001   iter:00346 | Loss:1.206 | Acc:0.602
Epoch:001   iter:00347 | Loss:1.141 | Acc:0.625
Epoch:001   iter:00348 | Loss:1.110 | Acc:0.648
Epoch:001   iter:00349 | Loss:1.171 | Acc:0.641
Epoch:001   iter:00350 | Loss:1.141 | Acc:0.609
Epoch:001   iter:00351 | Loss:1.168 | Acc:0.562
Epoch:001   iter:00352 | Loss:1.088 | Acc:0.625
Epoch:001   iter:00353 | Loss:1.022 | Acc:0.656
Epoch:001   iter:00354 | Loss:1.082 | Acc:0.750
Epoch:001   iter:00355 | Loss:1.274 | Acc:0.516
Epoch:001   iter:00356 | Loss:1.263 | Acc:0.567
Epoch:002   iter:00357 | Loss:1.107 | Acc:0.648
Epoch:002   iter:00358 | Loss:1.022 | Acc:0.711
Epoch:002   iter:00359 | Loss:1.110 | Acc:0.633
Epoch:002   iter:00360 | Loss:1.155 | Acc:0.602
Epoch:002   iter:00361 | Loss:1.117 | Acc:0.625
Epoch:002   iter:00362 | Loss:1.094 | Acc:0.633
Epoch:002   iter:00363 | Loss:1.093 | Acc:0.664
Epoch:002   iter:00364 | Loss:1.054 | Acc:0.688
Epoch:002   iter:00365 | Loss:1.022 | Acc:0.750
Epoch:002   iter:00366 | Loss:1.162 | Acc:0.656
Epoch:002   iter:00367 | Loss:1.087 | Acc:0.672
Epoch:002   iter:00368 | Loss:1.022 | Acc:0.680
Epoch:002   iter:00369 | Loss:1.082 | Acc:0.703
Epoch:002   iter:00370 | Loss:1.069 | Acc:0.695
Epoch:002   iter:00371 | Loss:1.084 | Acc:0.695
Epoch:002   iter:00372 | Loss:1.113 | Acc:0.641
Epoch:002   iter:00373 | Loss:1.088 | Acc:0.609
Epoch:002   iter:00374 | Loss:1.082 | Acc:0.625
Epoch:002   iter:00375 | Loss:1.177 | Acc:0.594
Epoch:002   iter:00376 | Loss:1.067 | Acc:0.656
Epoch:002   iter:00377 | Loss:0.989 | Acc:0.695
Epoch:002   iter:00378 | Loss:1.213 | Acc:0.586
Epoch:002   iter:00379 | Loss:1.184 | Acc:0.586
Epoch:002   iter:00380 | Loss:1.051 | Acc:0.672
Epoch:002   iter:00381 | Loss:1.134 | Acc:0.633
Epoch:002   iter:00382 | Loss:1.117 | Acc:0.672
Epoch:002   iter:00383 | Loss:1.018 | Acc:0.727
Epoch:002   iter:00384 | Loss:1.046 | Acc:0.602
Epoch:002   iter:00385 | Loss:1.053 | Acc:0.703
Epoch:002   iter:00386 | Loss:1.226 | Acc:0.609
Epoch:002   iter:00387 | Loss:1.026 | Acc:0.734
Epoch:002   iter:00388 | Loss:1.161 | Acc:0.578
Epoch:002   iter:00389 | Loss:1.115 | Acc:0.664
Epoch:002   iter:00390 | Loss:1.124 | Acc:0.641
Epoch:002   iter:00391 | Loss:1.043 | Acc:0.648
Epoch:002   iter:00392 | Loss:1.114 | Acc:0.648
Epoch:002   iter:00393 | Loss:1.092 | Acc:0.703
Epoch:002   iter:00394 | Loss:1.006 | Acc:0.711
Epoch:002   iter:00395 | Loss:1.083 | Acc:0.648
Epoch:002   iter:00396 | Loss:1.061 | Acc:0.656
Epoch:002   iter:00397 | Loss:1.081 | Acc:0.641
Epoch:002   iter:00398 | Loss:1.085 | Acc:0.672
Epoch:002   iter:00399 | Loss:1.147 | Acc:0.648
Epoch:002   iter:00400 | Loss:0.971 | Acc:0.734
Epoch:002   iter:00401 | Loss:1.136 | Acc:0.664
Epoch:002   iter:00402 | Loss:0.996 | Acc:0.727
Epoch:002   iter:00403 | Loss:1.148 | Acc:0.617
Epoch:002   iter:00404 | Loss:0.951 | Acc:0.773
Epoch:002   iter:00405 | Loss:1.054 | Acc:0.703
Epoch:002   iter:00406 | Loss:1.063 | Acc:0.703
Epoch:002   iter:00407 | Loss:1.125 | Acc:0.617
Epoch:002   iter:00408 | Loss:1.136 | Acc:0.664
Epoch:002   iter:00409 | Loss:1.065 | Acc:0.633
Epoch:002   iter:00410 | Loss:1.067 | Acc:0.680
Epoch:002   iter:00411 | Loss:0.967 | Acc:0.734
Epoch:002   iter:00412 | Loss:1.053 | Acc:0.703
Epoch:002   iter:00413 | Loss:1.031 | Acc:0.648
Epoch:002   iter:00414 | Loss:1.060 | Acc:0.703
Epoch:002   iter:00415 | Loss:0.968 | Acc:0.695
Epoch:002   iter:00416 | Loss:1.071 | Acc:0.688
Epoch:002   iter:00417 | Loss:0.993 | Acc:0.711
Epoch:002   iter:00418 | Loss:1.060 | Acc:0.688
Epoch:002   iter:00419 | Loss:1.049 | Acc:0.633
Epoch:002   iter:00420 | Loss:0.963 | Acc:0.734
Epoch:002   iter:00421 | Loss:0.983 | Acc:0.711
Epoch:002   iter:00422 | Loss:1.127 | Acc:0.656
Epoch:002   iter:00423 | Loss:0.985 | Acc:0.797
Epoch:002   iter:00424 | Loss:1.002 | Acc:0.703
Epoch:002   iter:00425 | Loss:1.061 | Acc:0.727
Epoch:002   iter:00426 | Loss:1.059 | Acc:0.680
Epoch:002   iter:00427 | Loss:0.972 | Acc:0.734
Epoch:002   iter:00428 | Loss:1.062 | Acc:0.680
Epoch:002   iter:00429 | Loss:0.996 | Acc:0.703
Epoch:002   iter:00430 | Loss:0.984 | Acc:0.719
Epoch:002   iter:00431 | Loss:0.931 | Acc:0.742
Epoch:002   iter:00432 | Loss:0.974 | Acc:0.734
